city,temperature,humidity,pressure,wind,precipitation,date
Tunis,23.99,73,1021,3.09,0,2025-09-12 22:14:09
Ariana,24.0,73,1021,3.09,0,2025-09-12 22:14:09
Ben Arous,23.6,64,1021,2.32,0,2025-09-12 22:14:09
Manouba,23.08,69,1021,1.63,0,2025-09-12 22:14:09
Nabeul,23.79,68,1020,4.76,0,2025-09-12 22:14:09
Zaghouan,21.71,68,1021,2.92,0,2025-09-12 22:14:09
Bizerte,23.66,68,1021,3.71,0,2025-09-12 22:14:09
Beja,21.97,78,1021,1.04,0,2025-09-12 22:14:09
Jendouba,20.13,83,1022,0.96,0,2025-09-12 22:14:09
Kef,21.77,64,1022,2.45,0,2025-09-12 22:14:09
Siliana,20.04,69,1022,0.75,0,2025-09-12 22:14:09
Kasserine,21.7,65,1022,4.24,0,2025-09-12 22:14:09
Sidi Bouzid,23.63,64,1021,5.19,0,2025-09-12 22:14:09
Kairouan,25.31,59,1020,4.01,0,2025-09-12 22:14:09
Kébili,25.26,57,1019,6.32,0,2025-09-12 22:14:09
Tozeur,26.89,52,1019,7.34,0,2025-09-12 22:14:09
Gabès,26.84,59,1020,6.17,0,2025-09-12 22:14:09
Medenine,25.98,74,1019,4.52,0,2025-09-12 22:14:09
Tataouine,24.08,56,1018,7.34,0,2025-09-12 22:14:09
Mahdia,24.9,65,1020,5.7,0,2025-09-12 22:14:09
Monastir,25.91,73,1020,4.63,0,2025-09-12 22:14:10
Sousse,25.97,73,1020,4.63,0,2025-09-12 22:14:10
Sfax,26.2,62,1020,6.25,0,2025-09-12 22:14:10
Gafsa,24.04,58,1020,3.37,0,2025-09-12 22:14:10
